"","META","META_AAPL","META_GOOG","META_MSFT","META_AMZN","AAPL","AAPL_GOOG","AAPL_MSFT","AAPL_AMZN","GOOG","GOOG_MSFT","GOOG_AMZN","MSFT","MSFT_AMZN","AMZN","horizon"
"11",1.21215209790608,1.05631214202615,1.09033588219303,0.995041911703411,1.17296241474101,0.935113706713581,0.963184527101315,0.889321953487449,1.01987029418227,0.992382490236627,0.914839863914573,1.05303935866922,0.850671820886075,0.959406012777019,1.1354023180282,11
"12",1.20388730726631,1.03477161154769,1.071493008362,0.96894364279779,1.16114247580578,0.904948514725155,0.934874800387013,0.856323615493182,0.995571470776054,0.966095387510769,0.883390236763752,1.0312455098812,0.815476138672918,0.930841389929765,1.12030883425673,12
"13",1.19567886827122,1.01367033991596,1.05297577170388,0.943529887410504,1.14944164636177,0.875756400985039,0.907397147490435,0.824549682570794,0.97185157669281,0.940504600748281,0.853021759535381,1.00990270961392,0.781736642048653,0.903127228375791,1.10541599588534,13
"14",1.1875263966996,0.992999369675863,1.03477854464992,0.918782691907981,1.13785872614296,0.847505975629123,0.880727112264579,0.793954723105509,0.948696818706607,0.915591685317743,0.823697265329223,0.989001622904545,0.749393082814181,0.876238207129229,1.09072113563211,14
"15",1.17942951094997,0.972749926034547,1.01689579688536,0.894684573550137,1.12639252697843,0.820166861377405,0.854840957372616,0.764494991225011,0.926093732220722,0.891338685165403,0.795380864938767,0.968533107987953,0.718387705478428,0.850149759091936,1.07622162167264,15
"16",1.17138783202271,0.952913413136496,0.999322093668804,0.871218508139637,1.11504187267045,0.793709660869733,0.829715643160768,0.736128364249887,0.904029173437907,0.867728119873299,0.768037902927705,0.948488212298254,0.688665144125072,0.824838048607806,1.06191485716873,16
"17",1.16340098350233,0.933481410414621,0.982052094180486,0.848367917995089,1.10380559887382,0.768105925055243,0.805328807152145,0.708814282464963,0.882490311717217,0.844742972060195,0.741634915216371,0.928858168553105,0.660172323546324,0.800279949685382,1.04779827980328,17
"18",1.15546859153983,0.914445669015734,0.965080549899169,0.826116660239691,1.09268255297645,0.743328122601498,0.7816587441433,0.682513691125436,0.861464622112929,0.822366675116264,0.716139588126248,0.909634390919059,0.632858364467187,0.776453024868834,1.03386936132136,18
"19",1.14759028483525,0.895798108298928,0.948402303007063,0.804449015397033,1.08167159398113,0.719349610290441,0.75868438688578,0.657188984614871,0.840939878091235,0.80058310126265,0.691520718832402,0.890808471256266,0.606674492690967,0.75333550473803,1.02012560707747,19
"20",1.13976569462023,0.877530812405359,0.932012284822315,0.783349676286028,1.07077159238845,0.69614460436932,0.736385287335476,0.632803952675213,0.82090414442045,0.779376549927329,0.667748177175453,0.87237217544091,0.581573952003798,0.730906268018947,1.00656455558867,20
